sep=;
time;model_id;model_name;port_name;data
0;1;(2,3);;<0>
0;2;(18,13);;<0>
0;3;(2,2);;<0>
0;4;(12,0);;<0>
0;5;(2,17);;<0>
0;6;(2,15);;<0>
0;7;(2,13);;<0>
0;8;(2,1);;<0>
0;9;(1,8);;<0>
0;10;(1,7);;<0>
0;11;(13,13);;<0>
0;12;(5,10);;<0>
0;13;(1,6);;<0>
0;14;(1,4);;<0>
0;15;(1,16);;<0>
0;16;(3,13);;<0>
0;17;(1,15);;<0>
0;18;(3,19);;<0>
0;19;(5,16);;<0>
0;20;(2,5);;<0>
0;21;(19,15);;<0>
0;22;(16,5);;<0>
0;23;(1,14);;<0>
0;24;(1,13);;<0>
0;25;(1,9);;<0>
0;26;(19,9);;<0>
0;27;(0,6);;<0>
0;28;(7,9);;<0>
0;29;(19,7);;<0>
0;30;(0,1);;<0>
0;31;(4,10);;<0>
0;32;(19,2);;<0>
0;33;(19,18);;<0>
0;34;(19,16);;<0>
0;35;(19,4);;<0>
0;36;(19,12);;<0>
0;37;(19,17);;<0>
0;38;(19,11);;<0>
0;39;(19,0);;<0>
0;40;(2,12);;<0>
0;41;(18,8);;<0>
0;42;(11,0);;<0>
0;43;(18,6);;<0>
0;44;(11,16);;<0>
0;45;(0,15);;<0>
0;46;(5,1);;<0>
0;47;(2,16);;<0>
0;48;(18,19);;<0>
0;49;(7,13);;<0>
0;50;(19,10);;<0>
0;51;(18,16);;<0>
0;52;(16,3);;<0>
0;53;(4,14);;<0>
0;54;(18,12);;<0>
0;55;(17,19);;<0>
0;56;(10,0);;<0>
0;57;(14,3);;<0>
0;58;(1,0);;<0>
0;59;(18,0);;<0>
0;60;(8,19);;<0>
0;61;(17,8);;<0>
0;62;(14,1);;<0>
0;63;(9,11);;<0>
0;64;(17,5);;<0>
0;65;(17,6);;<0>
0;66;(17,3);;<0>
0;67;(18,5);;<0>
0;68;(17,2);;<0>
0;69;(15,1);;<0>
0;70;(4,8);;<0>
0;71;(17,18);;<0>
0;72;(4,6);;<0>
0;73;(7,12);;<0>
0;74;(17,17);;<0>
0;75;(17,16);;<0>
0;76;(1,19);;<0>
0;77;(19,13);;<0>
0;78;(17,15);;<0>
0;79;(17,13);;<0>
0;80;(3,7);;<0>
0;81;(17,10);;<0>
0;82;(9,16);;<0>
0;83;(16,9);;<0>
0;84;(8,11);;<0>
0;85;(16,8);;<0>
0;86;(16,7);;<0>
0;87;(18,18);;<0>
0;88;(6,8);;<0>
0;89;(16,6);;<0>
0;90;(16,4);;<0>
0;91;(3,8);;<0>
0;92;(8,13);;<0>
0;93;(16,18);;<0>
0;94;(16,17);;<0>
0;95;(11,17);;<0>
0;96;(16,14);;<0>
0;97;(16,10);;<0>
0;98;(2,14);;<0>
0;99;(16,13);;<0>
0;100;(16,1);;<0>
0;101;(6,5);;<0>
0;102;(16,0);;<0>
0;103;(6,3);;<0>
0;104;(15,9);;<0>
0;105;(15,8);;<0>
0;106;(15,3);;<0>
0;107;(15,7);;<0>
0;108;(18,10);;<0>
0;109;(4,15);;<0>
0;110;(15,6);;<0>
0;111;(11,18);;<0>
0;112;(18,1);;<0>
0;113;(15,2);;<0>
0;114;(15,19);;<0>
0;115;(14,2);;<0>
0;116;(15,16);;<0>
0;117;(18,7);;<0>
0;118;(15,14);;<0>
0;119;(11,6);;<0>
0;120;(19,19);;<0>
0;121;(1,11);;<0>
0;122;(0,8);;<0>
0;123;(14,16);;<0>
0;124;(0,0);;<0>
0;125;(1,17);;<0>
0;126;(12,2);;<0>
0;127;(7,0);;<0>
0;128;(11,2);;<0>
0;129;(1,10);;<0>
0;130;(18,3);;<0>
0;131;(11,14);;<0>
0;132;(11,5);;<0>
0;133;(15,12);;<0>
0;134;(0,16);;<0>
0;135;(17,4);;<0>
0;136;(7,14);;<0>
0;137;(16,16);;<0>
0;138;(11,11);;<0>
0;139;(12,4);;<0>
0;140;(12,17);;<0>
0;141;(17,14);;<0>
0;142;(13,14);;<0>
0;143;(13,9);;<0>
0;144;(14,11);;<0>
0;145;(3,17);;<0>
0;146;(13,11);;<0>
0;147;(13,16);;<0>
0;148;(13,5);;<0>
0;149;(14,4);;<0>
0;150;(17,0);;<0>
0;151;(13,8);;<0>
0;152;(13,3);;<0>
0;153;(18,11);;<0>
0;154;(13,7);;<0>
0;155;(12,1);;<0>
0;156;(6,14);;<0>
0;157;(14,15);;<0>
0;158;(2,0);;<0>
0;159;(4,7);;<0>
0;160;(0,9);;<0>
0;161;(9,8);;<0>
0;162;(14,18);;<0>
0;163;(14,19);;<0>
0;164;(14,5);;<0>
0;165;(4,4);;<0>
0;166;(10,10);;<0>
0;167;(16,2);;<0>
0;168;(9,5);;<1>
0;169;(10,13);;<0>
0;170;(6,13);;<0>
0;171;(2,6);;<0>
0;172;(14,9);;<0>
0;173;(4,16);;<0>
0;174;(15,10);;<0>
0;175;(3,11);;<0>
0;176;(3,14);;<0>
0;177;(3,16);;<0>
0;178;(0,19);;<0>
0;179;(3,18);;<0>
0;180;(5,15);;<0>
0;181;(3,3);;<0>
0;182;(19,1);;<0>
0;183;(3,4);;<0>
0;184;(9,10);;<0>
0;185;(15,0);;<0>
0;186;(2,7);;<0>
0;187;(4,13);;<0>
0;188;(4,17);;<0>
0;189;(4,18);;<0>
0;190;(10,3);;<0>
0;191;(8,6);;<0>
0;192;(6,17);;<0>
0;193;(7,2);;<0>
0;194;(19,8);;<0>
0;195;(4,11);;<0>
0;196;(13,15);;<0>
0;197;(18,14);;<0>
0;198;(5,2);;<0>
0;199;(7,10);;<0>
0;200;(0,2);;<0>
0;201;(5,7);;<0>
0;202;(5,4);;<0>
0;203;(3,10);;<0>
0;204;(7,7);;<0>
0;205;(7,4);;<0>
0;206;(8,0);;<0>
0;207;(7,11);;<0>
0;208;(8,10);;<0>
0;209;(8,14);;<0>
0;210;(8,18);;<0>
0;211;(8,8);;<0>
0;212;(4,12);;<0>
0;213;(5,13);;<0>
0;214;(6,15);;<0>
0;215;(5,8);;<0>
0;216;(13,12);;<0>
0;217;(9,3);;<0>
0;218;(3,0);;<0>
0;219;(8,9);;<0>
0;220;(5,14);;<0>
0;221;(5,5);;<0>
0;222;(12,9);;<0>
0;223;(17,12);;<0>
0;224;(8,16);;<0>
0;225;(18,2);;<0>
0;226;(9,9);;<0>
0;227;(8,12);;<0>
0;228;(2,9);;<0>
0;229;(16,11);;<0>
0;230;(18,9);;<0>
0;231;(7,15);;<0>
0;232;(7,18);;<0>
0;233;(6,4);;<0>
0;234;(7,5);;<0>
0;235;(9,6);;<0>
0;236;(9,19);;<0>
0;237;(7,8);;<0>
0;238;(14,8);;<0>
0;239;(8,1);;<0>
0;240;(9,17);;<0>
0;241;(11,3);;<0>
0;242;(14,0);;<0>
0;243;(9,1);;<0>
0;244;(8,4);;<0>
0;245;(6,6);;<0>
0;246;(3,1);;<0>
0;247;(7,17);;<0>
0;248;(8,2);;<0>
0;249;(9,12);;<0>
0;250;(7,1);;<0>
0;251;(15,15);;<0>
0;252;(6,11);;<0>
0;253;(7,3);;<0>
0;254;(5,17);;<0>
0;255;(9,2);;<0>
0;256;(3,12);;<0>
0;257;(6,7);;<0>
0;258;(3,6);;<0>
0;259;(6,10);;<0>
0;260;(6,1);;<0>
0;261;(4,2);;<0>
0;262;(2,18);;<0>
0;263;(5,11);;<0>
0;264;(5,3);;<0>
0;265;(8,3);;<0>
0;266;(6,18);;<0>
0;267;(5,9);;<1>
0;268;(13,17);;<0>
0;269;(3,2);;<0>
0;270;(9,4);;<0>
0;271;(11,13);;<0>
0;272;(6,19);;<0>
0;273;(6,16);;<0>
0;274;(2,8);;<0>
0;275;(12,8);;<0>
0;276;(17,1);;<0>
0;277;(4,3);;<0>
0;278;(5,19);;<0>
0;279;(3,5);;<0>
0;280;(5,18);;<0>
0;281;(10,12);;<0>
0;282;(4,19);;<0>
0;283;(7,19);;<0>
0;284;(12,6);;<0>
0;285;(12,19);;<0>
0;286;(1,3);;<0>
0;287;(10,9);;<0>
0;288;(4,1);;<0>
0;289;(15,17);;<0>
0;290;(16,12);;<0>
0;291;(5,0);;<0>
0;292;(9,14);;<0>
0;293;(15,18);;<0>
0;294;(4,9);;<0>
0;295;(2,10);;<0>
0;296;(13,10);;<0>
0;297;(13,0);;<0>
0;298;(14,7);;<0>
0;299;(0,5);;<0>
0;300;(14,14);;<0>
0;301;(9,7);;<0>
0;302;(8,17);;<0>
0;303;(12,18);;<0>
0;304;(10,19);;<0>
0;305;(16,15);;<0>
0;306;(0,10);;<0>
0;307;(11,19);;<0>
0;308;(12,16);;<0>
0;309;(10,8);;<0>
0;310;(5,12);;<0>
0;311;(12,10);;<0>
0;312;(12,14);;<0>
0;313;(1,12);;<0>
0;314;(1,5);;<0>
0;315;(11,9);;<0>
0;316;(14,13);;<0>
0;317;(7,6);;<0>
0;318;(12,3);;<0>
0;319;(9,18);;<0>
0;320;(15,11);;<0>
0;321;(18,15);;<0>
0;322;(13,19);;<0>
0;323;(12,5);;<0>
0;324;(18,17);;<0>
0;325;(7,16);;<0>
0;326;(0,4);;<0>
0;327;(0,12);;<0>
0;328;(4,5);;<0>
0;329;(17,11);;<0>
0;330;(6,9);;<0>
0;331;(2,4);;<0>
0;332;(0,17);;<0>
0;333;(0,18);;<0>
0;334;(11,4);;<0>
0;335;(0,3);;<0>
0;336;(14,12);;<0>
0;337;(19,6);;<0>
0;338;(11,7);;<0>
0;339;(1,1);;<0>
0;340;(1,18);;<0>
0;341;(13,1);;<0>
0;342;(0,7);;<0>
0;343;(9,0);;<0>
0;344;(0,11);;<0>
0;345;(3,15);;<0>
0;346;(10,16);;<0>
0;347;(8,7);;<0>
0;348;(10,7);;<0>
0;349;(9,13);;<0>
0;350;(6,12);;<0>
0;351;(14,17);;<0>
0;352;(13,2);;<0>
0;353;(2,11);;<0>
0;354;(11,12);;<0>
0;355;(3,9);;<0>
0;356;(6,2);;<0>
0;357;(5,6);;<0>
0;358;(12,12);;<0>
0;359;(16,19);;<0>
0;360;(19,14);;<0>
0;361;(11,10);;<0>
0;362;(17,9);;<0>
0;363;(0,13);;<0>
0;364;(14,6);;<0>
0;365;(12,15);;<0>
0;366;(0,14);;<0>
0;367;(12,7);;<0>
0;368;(13,4);;<0>
0;369;(13,6);;<0>
0;370;(15,4);;<0>
0;371;(10,17);;<0>
0;372;(10,5);;<0>
0;373;(10,18);;<0>
0;374;(13,18);;<0>
0;375;(15,13);;<0>
0;376;(12,13);;<0>
0;377;(17,7);;<0>
0;378;(19,3);;<0>
0;379;(8,15);;<0>
0;380;(10,2);;<0>
0;381;(10,15);;<0>
0;382;(10,4);;<0>
0;383;(10,1);;<0>
0;384;(4,0);;<0>
0;385;(11,8);;<0>
0;386;(10,11);;<0>
0;387;(10,6);;<0>
0;388;(11,1);;<0>
0;389;(15,5);;<0>
0;390;(19,5);;<0>
0;391;(6,0);;<0>
0;392;(11,15);;<0>
0;393;(9,15);;<0>
0;394;(2,19);;<0>
0;395;(12,11);;<0>
0;396;(18,4);;<0>
0;397;(10,14);;<1>
0;398;(1,2);;<0>
0;399;(8,5);;<0>
0;400;(14,10);;<1>
0;1;(2,3);outputNeighborhood;<0>
0;1;(2,3);;<0>
0;2;(18,13);outputNeighborhood;<0>
0;2;(18,13);;<0>
0;3;(2,2);outputNeighborhood;<0>
0;3;(2,2);;<0>
0;4;(12,0);outputNeighborhood;<0>
0;4;(12,0);;<0>
0;5;(2,17);outputNeighborhood;<0>
0;5;(2,17);;<0>
0;6;(2,15);outputNeighborhood;<0>
0;6;(2,15);;<0>
0;7;(2,13);outputNeighborhood;<0>
0;7;(2,13);;<0>
0;8;(2,1);outputNeighborhood;<0>
0;8;(2,1);;<0>
0;9;(1,8);outputNeighborhood;<0>
0;9;(1,8);;<0>
0;10;(1,7);outputNeighborhood;<0>
0;10;(1,7);;<0>
0;11;(13,13);outputNeighborhood;<0>
0;11;(13,13);;<0>
0;12;(5,10);outputNeighborhood;<0>
0;12;(5,10);;<0>
0;13;(1,6);outputNeighborhood;<0>
0;13;(1,6);;<0>
0;14;(1,4);outputNeighborhood;<0>
0;14;(1,4);;<0>
0;15;(1,16);outputNeighborhood;<0>
0;15;(1,16);;<0>
0;16;(3,13);outputNeighborhood;<0>
0;16;(3,13);;<0>
0;17;(1,15);outputNeighborhood;<0>
0;17;(1,15);;<0>
0;18;(3,19);outputNeighborhood;<0>
0;18;(3,19);;<0>
0;19;(5,16);outputNeighborhood;<0>
0;19;(5,16);;<0>
0;20;(2,5);outputNeighborhood;<0>
0;20;(2,5);;<0>
0;21;(19,15);outputNeighborhood;<0>
0;21;(19,15);;<0>
0;22;(16,5);outputNeighborhood;<0>
0;22;(16,5);;<0>
0;23;(1,14);outputNeighborhood;<0>
0;23;(1,14);;<0>
0;24;(1,13);outputNeighborhood;<0>
0;24;(1,13);;<0>
0;25;(1,9);outputNeighborhood;<0>
0;25;(1,9);;<0>
0;26;(19,9);outputNeighborhood;<0>
0;26;(19,9);;<0>
0;27;(0,6);outputNeighborhood;<0>
0;27;(0,6);;<0>
0;28;(7,9);outputNeighborhood;<0>
0;28;(7,9);;<0>
0;29;(19,7);outputNeighborhood;<0>
0;29;(19,7);;<0>
0;30;(0,1);outputNeighborhood;<0>
0;30;(0,1);;<0>
0;31;(4,10);outputNeighborhood;<0>
0;31;(4,10);;<0>
0;32;(19,2);outputNeighborhood;<0>
0;32;(19,2);;<0>
0;33;(19,18);outputNeighborhood;<0>
0;33;(19,18);;<0>
0;34;(19,16);outputNeighborhood;<0>
0;34;(19,16);;<0>
0;35;(19,4);outputNeighborhood;<0>
0;35;(19,4);;<0>
0;36;(19,12);outputNeighborhood;<0>
0;36;(19,12);;<0>
0;37;(19,17);outputNeighborhood;<0>
0;37;(19,17);;<0>
0;38;(19,11);outputNeighborhood;<0>
0;38;(19,11);;<0>
0;39;(19,0);outputNeighborhood;<0>
0;39;(19,0);;<0>
